id,city_name,city_state
1203,Land O' Lakes,FL
1204,Bettendorf,IA
1205,Pacifica,CA
1206,Cottage Grove,MN
1207,Clovis,NM
1208,Vestavia Hills,AL
1209,La Presa,CA
1210,Holyoke,MA
1211,Evans,GA
1212,La Puente,CA
1213,Apache Junction,AZ
1214,Menomonee Falls,WI
1215,Phenix City,AL
1216,Stanton,CA
1217,Post Falls,ID
1218,La Vergne,TN
1219,Parkland,WA
1220,East Meadow,NY
1221,Mount Juliet,TN
1222,Hot Springs,AR
1223,Winter Springs,FL
1224,Monrovia,CA
1225,Prattville,AL
1226,Carpentersville,IL
1227,West Fargo,ND
1228,Northglenn,CO
1229,East Point,GA
1230,Tupelo,MS
1231,Rosenberg,TX
1232,Montclair,CA
1233,Peachtree City,GA
1234,La Quinta,CA
1235,Mechanicsville,VA
1236,Sun City,AZ
1237,Richmond West,FL
1238,Greenfield,WI
1239,Owasso,OK
1240,Hanover Park,IL
1241,Portage,IN
1242,Rock Island,IL
1243,Lebanon,TN
1244,Foothill Farms,CA
1245,New Albany,IN
1246,Martinez,CA
1247,Riviera Beach,FL
1248,Adelanto,CA
